hidden_layers,activation_function,epochs,learning_rate,batch_size,train_accuracy,test_accuracy
[32],relu,1,10.0,16,0.745,0.755
[32],relu,1,10.0,32,0.74375,0.805
[32],relu,1,10.0,64,0.79625,0.765
[32],relu,1,10.0,128,0.82375,0.85
[32],relu,1,10.0,256,0.695,0.7
[32],relu,1,10.0,512,0.52,0.44
[32],relu,1,1.0,16,0.82125,0.825
[32],relu,1,1.0,32,0.805,0.8
[32],relu,1,1.0,64,0.82125,0.82
[32],relu,1,1.0,128,0.77125,0.835
[32],relu,1,1.0,256,0.79625,0.825
[32],relu,1,1.0,512,0.5675,0.525
[32],relu,1,0.1,16,0.90375,0.93
[32],relu,1,0.1,32,0.87125,0.875
[32],relu,1,0.1,64,0.87,0.9
[32],relu,1,0.1,128,0.875,0.875
[32],relu,1,0.1,256,0.79125,0.845
[32],relu,1,0.1,512,0.83625,0.825
[32],relu,1,0.01,16,0.8925,0.885
[32],relu,1,0.01,32,0.8725,0.88
[32],relu,1,0.01,64,0.8325,0.835
[32],relu,1,0.01,128,0.87,0.88
[32],relu,1,0.01,256,0.745,0.78
[32],relu,1,0.01,512,0.665,0.685
[32],relu,1,0.001,16,0.70125,0.755
[32],relu,1,0.001,32,0.55125,0.505
[32],relu,1,0.001,64,0.65125,0.625
[32],relu,1,0.001,128,0.45375,0.405
[32],relu,1,0.001,256,0.48625,0.39
[32],relu,1,0.001,512,0.40875,0.43
[32],relu,1,0.0001,16,0.625,0.62
[32],relu,1,0.0001,32,0.62,0.64
[32],relu,1,0.0001,64,0.51875,0.44
[32],relu,1,0.0001,128,0.47375,0.495
[32],relu,1,0.0001,256,0.51125,0.505
[32],relu,1,0.0001,512,0.58875,0.55
[32],relu,10,10.0,16,0.56625,0.615
[32],relu,10,10.0,32,0.69125,0.69
[32],relu,10,10.0,64,0.785,0.77
[32],relu,10,10.0,128,0.7775,0.725
[32],relu,10,10.0,256,0.81125,0.795
[32],relu,10,10.0,512,0.89625,0.87
[32],relu,10,1.0,16,0.69625,0.71
[32],relu,10,1.0,32,0.8175,0.835
[32],relu,10,1.0,64,0.865,0.885
[32],relu,10,1.0,128,0.84375,0.84
[32],relu,10,1.0,256,0.9,0.895
[32],relu,10,1.0,512,0.85875,0.85
[32],relu,10,0.1,16,0.94375,0.93
[32],relu,10,0.1,32,0.9575,0.945
[32],relu,10,0.1,64,0.94875,0.94
[32],relu,10,0.1,128,0.97,0.955
[32],relu,10,0.1,256,0.935,0.93
[32],relu,10,0.1,512,0.92875,0.915
[32],relu,10,0.01,16,0.9575,0.955
[32],relu,10,0.01,32,0.94875,0.95
[32],relu,10,0.01,64,0.94625,0.945
[32],relu,10,0.01,128,0.92875,0.925
[32],relu,10,0.01,256,0.8975,0.905
[32],relu,10,0.01,512,0.86625,0.88
[32],relu,10,0.001,16,0.89625,0.905
[32],relu,10,0.001,32,0.88375,0.875
[32],relu,10,0.001,64,0.8625,0.88
[32],relu,10,0.001,128,0.84375,0.865
[32],relu,10,0.001,256,0.79,0.805
[32],relu,10,0.001,512,0.6675,0.605
[32],relu,10,0.0001,16,0.715,0.715
[32],relu,10,0.0001,32,0.74375,0.75
[32],relu,10,0.0001,64,0.6075,0.595
[32],relu,10,0.0001,128,0.50375,0.55
[32],relu,10,0.0001,256,0.495,0.585
[32],relu,10,0.0001,512,0.575,0.62
[32],relu,25,10.0,16,0.6225,0.585
[32],relu,25,10.0,32,0.6475,0.67
[32],relu,25,10.0,64,0.64,0.645
[32],relu,25,10.0,128,0.78625,0.79
[32],relu,25,10.0,256,0.84375,0.81
[32],relu,25,10.0,512,0.895,0.91
[32],relu,25,1.0,16,0.6125,0.61
[32],relu,25,1.0,32,0.7325,0.73
[32],relu,25,1.0,64,0.88375,0.86
[32],relu,25,1.0,128,0.82,0.805
[32],relu,25,1.0,256,0.89125,0.845
[32],relu,25,1.0,512,0.92125,0.885
[32],relu,25,0.1,16,0.94,0.94
[32],relu,25,0.1,32,0.9425,0.95
[32],relu,25,0.1,64,0.96875,0.945
[32],relu,25,0.1,128,0.96875,0.955
[32],relu,25,0.1,256,0.95875,0.945
[32],relu,25,0.1,512,0.9625,0.955
[32],relu,25,0.01,16,0.97125,0.965
[32],relu,25,0.01,32,0.9675,0.955
[32],relu,25,0.01,64,0.96875,0.96
[32],relu,25,0.01,128,0.95875,0.95
[32],relu,25,0.01,256,0.94875,0.945
[32],relu,25,0.01,512,0.92125,0.93
[32],relu,25,0.001,16,0.925,0.94
[32],relu,25,0.001,32,0.9125,0.92
[32],relu,25,0.001,64,0.9,0.92
[32],relu,25,0.001,128,0.8725,0.865
[32],relu,25,0.001,256,0.86875,0.885
[32],relu,25,0.001,512,0.82875,0.84
[32],relu,25,0.0001,16,0.85875,0.875
[32],relu,25,0.0001,32,0.8175,0.835
[32],relu,25,0.0001,64,0.72875,0.705
[32],relu,25,0.0001,128,0.6675,0.63
[32],relu,25,0.0001,256,0.485,0.56
[32],relu,25,0.0001,512,0.715,0.77
[32],relu,50,10.0,16,0.63375,0.64
[32],relu,50,10.0,32,0.7175,0.72
[32],relu,50,10.0,64,0.77125,0.75
[32],relu,50,10.0,128,0.6775,0.665
[32],relu,50,10.0,256,0.77625,0.765
[32],relu,50,10.0,512,0.925,0.905
[32],relu,50,1.0,16,0.50625,0.575
